Id,SalePrice
1461,102824.6318
1462,165026.1354
1463,181855.5782
1464,211937.1868
1465,193025.084
1466,164448.3827
1467,163298.0973
1468,168240.4624
1469,178387.0638
1470,104980.6771
1471,190680.0746
1472,91183.20568
1473,91309.54719
1474,119853.3607
1475,62354.38395
1476,302076.7953
1477,259599.7141
1478,295264.8332
1479,298052.0924
1480,402593.8945
1481,301433.0854
1482,240823.0748
1483,180077.0055
1484,187759.457
1485,202803.3743
1486,206810.1562
1487,301170.7193
1488,235424.6992
1489,205694.5843
1490,226768.7844
1491,206150.9494
1492,66377.53754
1493,191141.3524
1494,285691.4351
1495,276685.519
1496,222670.1041
1497,169235.7616
1498,176805.0678
1499,167398.3269
1500,176598.0556
1501,208082.6984
1502,166431.1652
1503,264364.32
1504,234628.4128
1505,230194.6964
1506,205274.4679
1507,246309.2116
1508,201632.5109
1509,151208.5659
1510,170439.382
1511,150083.4551
1512,182671.3857
1513,135768.0418
1514,172393.9518
1515,209678.2738
1516,175384.509
1517,173093.7729
1518,123747.7574
1519,234086.1457
1520,144340.322
1521,150074.939
1522,199131.193
1523,88656.13169
1524,85763.87881
1525,113099.4542
1526,107965.1247
1527,96806.55395
1528,115032.1319
1529,137677.1134
1530,215948.9619
1531,186931.912
1532,104231.3519
1533,164806.7979
1534,107535.8877
1535,156127.5394
1536,109130.6977
1537,81339.08599
1538,170055.4077
1539,187882.4754
1540,109684.8571
1541,132322.5374
1542,106338.1048
1543,175736.1186
1544,64303.39506
1545,89965.36108
1546,127497.9617
1547,140837.4854
1548,101053.4705
1549,98278.9385
1550,126965.6869
1551,119509.5332
1552,134901.0859
1553,151512.0875
1554,103953.3878
1555,187576.1613
1556,101875.596
1557,88576.2244
1558,102128.1788
1559,136071.5634
1560,150492.7303
1561,122176.7492
1562,134249.5668
1563,110656.974
1564,150049.1402
1565,146412.0102
1566,245382.4933
1567,72106.07515
1568,258839.5099
1569,152480.2403
1570,138720.1779
1571,123097.9682
1572,127957.7504
1573,253603.3838
1574,125612.177
1575,250997.6075
1576,265526.2681
1577,197835.1165
1578,127062.7393
1579,145936.3965
1580,185130.3737
1581,158101.3428
1582,114351.0278
1583,314376.6856
1584,220739.5777
1585,164763.2228
1586,55733.08035
1587,83785.57736
1588,155235.1806
1589,79643.87834
1590,113379.4059
1591,104406.2973
1592,145506.6306
1593,123632.0509
1594,107664.4141
1595,128974.5116
1596,227647.9978
1597,190784.4986
1598,204832.5993
1599,184975.4347
1600,182121.7181
1601,40399.55448
1602,121167.383
1603,68343.73433
1604,308815.8209
1605,233956.7064
1606,150694.452
1607,158074.7441
1608,242180.3512
1609,194847.7602
1610,157904.552
1611,148049.1998
1612,173327.2848
1613,171807.105
1614,148802.1244
1615,98003.8224
1616,86675.5344
1617,98589.53406
1618,94115.88372
1619,133425.7119
1620,156751.3751
1621,126815.5135
1622,139156.0684
1623,268498.0938
1624,235473.6974
1625,108872.4246
1626,200556.969
1627,187028.4793
1628,281663.7221
1629,174721.6144
1630,296778.2101
1631,210334.304
1632,237739.5554
1633,179798.1671
1634,194970.6318
1635,182017.5363
1636,161535.5263
1637,192806.3178
1638,203333.9267
1639,191471.5107
1640,231059.27
1641,182387.8642
1642,237817.4052
1643,208191.5658
1644,226671.1512
1645,212135.5074
1646,176280.9217
1647,146493.849
1648,118557.6665
1649,131233.3919
1650,113435.8203
1651,109817.9365
1652,87803.61211
1653,88264.61549
1654,118612.3033
1655,94980.32666
1656,112883.2341
1657,117785.2905
1658,130192.5381
1659,74711.9217
1660,178803.4252
1661,377134.9976
1662,305661.4818
1663,319868.7539
1664,399752.1513
1665,268181.9807
1666,333193.6662
1667,335165.2103
1668,313546.1363
1669,271650.1499
1670,289612.5492
1671,290148.7709
1672,355884.4875
1673,292074.9945
1674,261621.9459
1675,233306.6388
1676,231395.402
1677,246345.0222
1678,397231.5756
1679,338949.3502
1680,290924.1995
1681,238868.395
1682,319988.8573
1683,214629.4676
1684,189385.8699
1685,193598.3143
1686,199971.2624
1687,190136.6958
1688,218466.666
1689,211135.1083
1690,216266.3908
1691,202833.3284
1692,248395.1383
1693,182036.9045
1694,180430.5837
1695,156172.4779
1696,263787.9383
1697,156839.1112
1698,327261.3254
1699,310757.893
1700,266020.822
1701,272060.8811
1702,259900.8586
1703,254696.0373
1704,277863.7355
1705,262833.6291
1706,388131.932
1707,207681.0785
1708,209156.4308
1709,265399.6501
1710,235178.9209
1711,275351.7856
1712,270493.6171
1713,250051.2191
1714,216249.5214
1715,203111.7624
1716,177845.1392
1717,179797.0817
1718,129059.9722
1719,217614.8008
1720,242878.3508
1721,164592.2159
1722,122369.7782
1723,160801.5632
1724,216851.4387
1725,238867.0251
1726,187693.1387
1727,163685.6193
1728,179050.0768
1729,159739.4644
1730,141528.6722
1731,114223.0371
1732,131739.0838
1733,96308.72545
1734,99745.0657
1735,126825.3702
1736,100495.5702
1737,294310.0693
1738,247941.6649
1739,243262.2892
1740,247014.7327
1741,221140.9851
1742,188263.7116
1743,204928.744
1744,265606.9877
1745,213989.3328
1746,203238.139
1747,225992.6191
1748,234178.3923
1749,161929.764
1750,131979.078
1751,258436.9788
1752,97113.9248
1753,148965.9676
1754,204682.3965
1755,192816.9058
1756,105885.7837
1757,110182.7741
1758,169652.2104
1759,178201.5328
1760,180633.7081
1761,182662.4402
1762,169789.8083
